last_edited_by,date_added,last_edited_date,raw_source,vessel_id,port,key,arr_date,port_master,aphorism,holiday_greeting,wisdom,saying,vessel_name,tonnage,length_overall,flag_country,vessel_company,vessel_type
Haenyeo Hyun-Ki,2035-09-28T00:00:00Z,2035-10-07T00:00:00Z,Lomark harbor reports,skipjacktunaseeker76c,City of Lomark,1,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",Enjoy Offler Snack today!,"Island life is not just a place, it's a state of mind.","I must go down to the seas again, for the call of the running tide.",Skipjack Tuna Seeker,800,30,Oceanus,Cisneros-Meyer,Fishing
Clepper Jessen,2035-09-24T00:00:00Z,2035-09-30T00:00:00Z,Lomark harbor reports,skipjacktunaseeker76c,City of Lomark,2,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",Enjoy Offler Snack today!,"Island life is not just a place, it's a state of mind.","I must go down to the seas again, for the call of the running tide.",Skipjack Tuna Seeker,800,30,Oceanus,Cisneros-Meyer,Fishing
Clepper Jessen,2035-09-27T00:00:00Z,2035-10-07T00:00:00Z,Lomark harbor reports,skipjacktunaseeker76c,City of Lomark,3,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",Enjoy Offler Snack today!,"Island life is not just a place, it's a state of mind.","I must go down to the seas again, for the call of the running tide.",Skipjack Tuna Seeker,800,30,Oceanus,Cisneros-Meyer,Fishing
Haenyeo Hyun-Ki,2035-09-27T00:00:00Z,2035-09-30T00:00:00Z,Lomark harbor reports,skipjacktunaseeker76c,City of Lomark,4,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",Enjoy Offler Snack today!,"Island life is not just a place, it's a state of mind.","I must go down to the seas again, for the call of the running tide.",Skipjack Tuna Seeker,800,30,Oceanus,Cisneros-Meyer,Fishing
Clepper Jessen,2035-05-02T00:00:00Z,2035-05-08T00:00:00Z,Lomark harbor reports,skipjacktunaseeker76c,City of Lomark,5,2035-04-29T00:00:00Z,Portmaster of Lomark,"A ship in the harbor is safe, but that's not what ships are built for.",Enjoy Offler Snack today!,"Island life is not just a place, it's a state of mind.","The sea-shore is a sort of neutral ground, a most advantageous point from which to contemplate the world.",Skipjack Tuna Seeker,800,30,Oceanus,Cisneros-Meyer,Fishing
Clepper Jessen,2035-05-04T00:00:00Z,2035-05-11T00:00:00Z,Lomark harbor reports,skipjacktunaseeker76c,City of Lomark,6,2035-04-29T00:00:00Z,Portmaster of Lomark,"A ship in the harbor is safe, but that's not what ships are built for.",Merry Saw Appreciation Day to you all!,"Sailors, with their built in sense of order, service and discipline, should really be running the world.",Island life is the best life.,Skipjack Tuna Seeker,800,30,Oceanus,Cisneros-Meyer,Fishing
Clepper Jessen,2035-11-18T00:00:00Z,2035-11-21T00:00:00Z,Lomark harbor reports,skipjacktunaseeker76c,City of Lomark,7,2035-11-12T00:00:00Z,Portmaster of Lomark,"Boat more, worry less.",NA,"Wind in my hair, I feel part of everywhere.",NA,Skipjack Tuna Seeker,800,30,Oceanus,Cisneros-Meyer,Fishing
Clepper Jessen,2035-07-11T00:00:00Z,2035-07-20T00:00:00Z,Himark harbor reports,skipjacktunaseeker76c,City of Himark,0,2035-07-03T00:00:00Z,Portmaster of Himark,The best time to plant a tree was 20 years ago. The second best time is now.,"Wow, its Memorialince of Labor's Past and Future again","Salty air, sun-kissed hair, the endless ocean, the smell of the sea, the touch of the sand, the island life for me.","The heart of man is very much like the sea, it has its storms, it has its tides and in its depths it has its pearls too.",Skipjack Tuna Seeker,800,30,Oceanus,Cisneros-Meyer,Fishing
Haenyeo Hyun-Ki,2035-09-24T00:00:00Z,2035-09-25T00:00:00Z,Lomark harbor reports,haddockhawkb7c,City of Lomark,0,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",What are you doing for Day of Future Hope this year?,"An island is not a place, it's a feeling.","The ocean roars, but the captain does not abandon the ship.",Haddock Hawk,1100,50,Oceanus,Garcia-Sanchez,Fishing
Junior Shurdlu,2035-09-29T00:00:00Z,2035-10-09T00:00:00Z,Lomark harbor reports,haddockhawkb7c,City of Lomark,1,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",What are you doing for Day of Future Hope this year?,"The sea, the majestic sea, breaks everything, crushes everything, cleans everything, takes everything...from me.","The ocean roars, but the captain does not abandon the ship.",Haddock Hawk,1100,50,Oceanus,Garcia-Sanchez,Fishing
Haenyeo Hyun-Ki,2035-08-22T00:00:00Z,2035-08-24T00:00:00Z,Paackland harbor reports,haddockhawkb7c,City of Paackland,0,2035-08-21T00:00:00Z,Portmaster of Paackland,Life's roughest storms prove the strength of our anchors.,Merry Unification Day to you all!,A smooth sea never made a skilled sailor.,"The sea, the majestic sea, breaks everything, crushes everything, cleans everything, takes everything...from me.",Haddock Hawk,1100,50,Oceanus,Garcia-Sanchez,Fishing
Clepper Jessen,2035-05-13T00:00:00Z,2035-05-15T00:00:00Z,Paackland harbor reports,haddockhawkb7c,City of Paackland,1,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",Merry Unification Day to you all!,Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,"You can't stop the waves, but you can learn to surf.",Haddock Hawk,1100,50,Oceanus,Garcia-Sanchez,Fishing
Clepper Jessen,2035-02-13T00:00:00Z,2035-02-15T00:00:00Z,Paackland harbor reports,haddockhawkb7c,City of Paackland,2,2035-02-10T00:00:00Z,Portmaster of Paackland,"A lot of people ask me if I were shipwrecked, and could only have one book, what would it be? I always say 'How to Build a Boat.'",Merry Unification Day to you all!,What would an ocean be without a monster lurking in the dark? It would be like sleep without dreams.,The sea finds out everything you did wrong.,Haddock Hawk,1100,50,Oceanus,Garcia-Sanchez,Fishing
Junior Shurdlu,2035-06-30T00:00:00Z,2035-07-08T00:00:00Z,South Paackland harbor reports,haddockhawkb7c,City of South Paackland,0,2035-06-26T00:00:00Z,Portmaster of South Paackland,NA,NA,NA,"In every outthrust headland, in every curving beach, in every grain of sand there is the story of the earth.",Haddock Hawk,1100,50,Oceanus,Garcia-Sanchez,Fishing
Junior Shurdlu,2035-11-08T00:00:00Z,2035-11-18T00:00:00Z,Lomark harbor reports,catchcruisera94,City of Lomark,0,2035-11-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Enjoy Offler Snack today!,"Island life is not just a place, it's a state of mind.","The cure for anything is salt water – sweat, tears, or the sea.",Catch Cruiser,100,30,Oceanus,"Brown, Clarke and Martinez",Fishing
Junior Shurdlu,2035-11-09T00:00:00Z,2035-11-16T00:00:00Z,Lomark harbor reports,catchcruisera94,City of Lomark,1,2035-11-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Enjoy Offler Snack today!,"Island life is not just a place, it's a state of mind.","The cure for anything is salt water – sweat, tears, or the sea.",Catch Cruiser,100,30,Oceanus,"Brown, Clarke and Martinez",Fishing
Junior Shurdlu,2035-11-16T00:00:00Z,2035-11-17T00:00:00Z,Lomark harbor reports,catchcruisera94,City of Lomark,2,2035-11-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Enjoy Offler Snack today!,"Island life is not just a place, it's a state of mind.","The cure for anything is salt water – sweat, tears, or the sea.",Catch Cruiser,100,30,Oceanus,"Brown, Clarke and Martinez",Fishing
Junior Shurdlu,2035-11-12T00:00:00Z,2035-11-17T00:00:00Z,Lomark harbor reports,catchcruisera94,City of Lomark,3,2035-11-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Merry Saw Appreciation Day to you all!,"Island life is not just a place, it's a state of mind.","The cure for anything is salt water – sweat, tears, or the sea.",Catch Cruiser,100,30,Oceanus,"Brown, Clarke and Martinez",Fishing
Haenyeo Hyun-Ki,2035-04-14T00:00:00Z,2035-04-18T00:00:00Z,Lomark harbor reports,catchcruisera94,City of Lomark,4,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Merry Saw Appreciation Day to you all!,"Island life is not just a place, it's a state of mind.","I must go down to the seas again, for the call of the running tide.",Catch Cruiser,100,30,Oceanus,"Brown, Clarke and Martinez",Fishing
Haenyeo Hyun-Ki,2035-02-19T00:00:00Z,2035-02-21T00:00:00Z,Lomark harbor reports,catchcruisera94,City of Lomark,5,2035-02-17T00:00:00Z,Portmaster of Lomark,They are ill discoverers that think there is no land when they can see nothing but sea.,NA,A ship on the beach is a lighthouse to the sea.,"I must go down to the seas again, for the call of the running tide.",Catch Cruiser,100,30,Oceanus,"Brown, Clarke and Martinez",Fishing
Junior Shurdlu,2035-08-17T00:00:00Z,2035-08-23T00:00:00Z,Himark harbor reports,catchcruisera94,City of Himark,0,2035-08-16T00:00:00Z,Portmaster of Himark,"There is nothing more enticing, disenchanting, and enslaving than the life at sea.","Wow, its Memorialince of Labor's Past and Future again",Happiness comes in waves.,"The goal is not to sail the boat, but rather to help the boat sail herself.",Catch Cruiser,100,30,Oceanus,"Brown, Clarke and Martinez",Fishing
Clepper Jessen,2035-06-08T00:00:00Z,2035-06-09T00:00:00Z,Himark harbor reports,catchcruisera94,City of Himark,1,2035-06-02T00:00:00Z,Portmaster of Himark,A ship is always safe at shore but that is not what it’s built for.,NA,NA,NA,Catch Cruiser,100,30,Oceanus,"Brown, Clarke and Martinez",Fishing
Clepper Jessen,2035-10-02T00:00:00Z,2035-10-10T00:00:00Z,Lomark harbor reports,bigeyetunabuccaneera16,City of Lomark,0,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",Enjoy Offler Snack today!,"To reach a port, we must set sail.",An island is more than just a geographical location; it's a state of mind.,Bigeye Tuna Buccaneer,300,30,Calabrand,Gomez-Mccormick,Fishing
Junior Shurdlu,2035-09-28T00:00:00Z,2035-10-08T00:00:00Z,Lomark harbor reports,bigeyetunabuccaneera16,City of Lomark,1,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",Enjoy Offler Snack today!,"To reach a port, we must set sail.","Sailors, with their built in sense of order, service and discipline, should really be running the world.",Bigeye Tuna Buccaneer,300,30,Calabrand,Gomez-Mccormick,Fishing
Junior Shurdlu,2035-05-15T00:00:00Z,2035-05-25T00:00:00Z,Paackland harbor reports,bigeyetunabuccaneera16,City of Paackland,0,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",Merry Offler Snack to you all!,The man who rows the boat seldom has time to rock it.,"Sea Fever: I must go down to the seas again, to the lonely sea and the sky, And all I ask is a tall ship and a star to steer her by.",Bigeye Tuna Buccaneer,300,30,Calabrand,Gomez-Mccormick,Fishing
Haenyeo Hyun-Ki,2035-10-04T00:00:00Z,2035-10-06T00:00:00Z,Paackland harbor reports,bigeyetunabuccaneera16,City of Paackland,1,2035-09-27T00:00:00Z,Portmaster of Paackland,"Wind in my hair, I feel part of everywhere.",Merry Unification Day to you all!,"Bare feet, salty hair.","Sea Fever: I must go down to the seas again, to the lonely sea and the sky, And all I ask is a tall ship and a star to steer her by.",Bigeye Tuna Buccaneer,300,30,Calabrand,Gomez-Mccormick,Fishing
Haenyeo Hyun-Ki,2035-03-27T00:00:00Z,2035-03-28T00:00:00Z,Paackland harbor reports,bigeyetunabuccaneera16,City of Paackland,2,2035-03-21T00:00:00Z,Portmaster of Paackland,"There is one spectacle grander than the sea, that is the sky; there is one spectacle grander than the sky, that is the interior of the soul.",NA,NA,NA,Bigeye Tuna Buccaneer,300,30,Calabrand,Gomez-Mccormick,Fishing
Junior Shurdlu,2035-04-17T00:00:00Z,2035-04-21T00:00:00Z,Lomark harbor reports,codfather685,City of Lomark,0,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Enjoy Offler Snack today!,The secret ingredient is always saltwater.,The sea does not like to be restrained.,Codfather,1700,110,Oceanus,Solis-Lopez,Fishing
Clepper Jessen,2035-04-10T00:00:00Z,2035-04-16T00:00:00Z,Lomark harbor reports,codfather685,City of Lomark,1,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Enjoy Offler Snack today!,The secret ingredient is always saltwater.,The sea does not like to be restrained.,Codfather,1700,110,Oceanus,Solis-Lopez,Fishing
Haenyeo Hyun-Ki,2035-08-21T00:00:00Z,2035-08-28T00:00:00Z,Paackland harbor reports,codfather685,City of Paackland,0,2035-08-21T00:00:00Z,Portmaster of Paackland,Life's roughest storms prove the strength of our anchors.,Merry Offler Snack to you all!,"We are all in the same boat, in a stormy sea, and we owe each other a terrible loyalty.","You can shake the sand from your shoes, but it will never leave your soul.",Codfather,1700,110,Oceanus,Solis-Lopez,Fishing
Haenyeo Hyun-Ki,2035-08-23T00:00:00Z,2035-08-26T00:00:00Z,Paackland harbor reports,codfather685,City of Paackland,1,2035-08-21T00:00:00Z,Portmaster of Paackland,Life's roughest storms prove the strength of our anchors.,Merry Offler Snack to you all!,Island life is life without corners.,The sea finds out everything you did wrong.,Codfather,1700,110,Oceanus,Solis-Lopez,Fishing
Clepper Jessen,2035-04-18T00:00:00Z,2035-04-24T00:00:00Z,Paackland harbor reports,codfather685,City of Paackland,2,2035-04-12T00:00:00Z,Portmaster of Paackland,"To reach a port, we must set sail.",NA,A smooth sea never made a skilled sailor.,The sea does not like to be restrained.,Codfather,1700,110,Oceanus,Solis-Lopez,Fishing
Haenyeo Hyun-Ki,2035-10-03T00:00:00Z,2035-10-06T00:00:00Z,Paackland harbor reports,codfather685,City of Paackland,3,2035-09-29T00:00:00Z,Portmaster of Paackland,"I must go down to the sea again, to the lonely sea and the sky. And all I ask is a tall ship and a star to steer her by.",NA,"On an island, you're always surrounded by friends – sometimes they just have fins or feathers.",NA,Codfather,1700,110,Oceanus,Solis-Lopez,Fishing
Clepper Jessen,2035-10-10T00:00:00Z,2035-10-19T00:00:00Z,Paackland harbor reports,codfather685,City of Paackland,4,2035-10-10T00:00:00Z,Portmaster of Paackland,NA,NA,There is hope at the bottom of the biggest waterfall.,NA,Codfather,1700,110,Oceanus,Solis-Lopez,Fishing
Clepper Jessen,2035-11-29T00:00:00Z,2035-12-05T00:00:00Z,South Paackland harbor reports,codfather685,City of South Paackland,0,2035-11-26T00:00:00Z,Portmaster of South Paackland,Ocean: A body of water occupying two-thirds of a world made for man - who has no gills.,NA,"The tans will fade, but the memories will last forever.",NA,Codfather,1700,110,Oceanus,Solis-Lopez,Fishing
Junior Shurdlu,2035-02-20T00:00:00Z,2035-02-28T00:00:00Z,Lomark harbor reports,cohosalmoncapturera7b,City of Lomark,0,2035-02-17T00:00:00Z,Portmaster of Lomark,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,What are you doing for Unification Day this year?,"Island life is not just a place, it's a state of mind.","I must go down to the seas again, for the call of the running tide.",Coho Salmon Capturer,100,10,Oceanus,"Faulkner, Shaffer and Moyer",Fishing
Clepper Jessen,2035-02-25T00:00:00Z,2035-03-07T00:00:00Z,Lomark harbor reports,cohosalmoncapturera7b,City of Lomark,1,2035-02-17T00:00:00Z,Portmaster of Lomark,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,NA,"Your heart is like the ocean, mysterious and dark.","I must go down to the seas again, for the call of the running tide.",Coho Salmon Capturer,100,10,Oceanus,"Faulkner, Shaffer and Moyer",Fishing
Haenyeo Hyun-Ki,2035-05-16T00:00:00Z,2035-05-23T00:00:00Z,Paackland harbor reports,cohosalmoncapturera7b,City of Paackland,0,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",Merry Offler Snack to you all!,The man who rows the boat seldom has time to rock it.,"Sea Fever: I must go down to the seas again, to the lonely sea and the sky, And all I ask is a tall ship and a star to steer her by.",Coho Salmon Capturer,100,10,Oceanus,"Faulkner, Shaffer and Moyer",Fishing
Haenyeo Hyun-Ki,2035-05-17T00:00:00Z,2035-05-18T00:00:00Z,Paackland harbor reports,cohosalmoncapturera7b,City of Paackland,1,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",Merry Unification Day to you all!,What would an ocean be without a monster lurking in the dark? It would be like sleep without dreams.,"You can shake the sand from your shoes, but it will never leave your soul.",Coho Salmon Capturer,100,10,Oceanus,"Faulkner, Shaffer and Moyer",Fishing
Haenyeo Hyun-Ki,2035-06-26T00:00:00Z,2035-06-27T00:00:00Z,Paackland harbor reports,cohosalmoncapturera7b,City of Paackland,2,2035-06-19T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water: sweat, tears, or the sea.",Merry Lunch of VonLipwig to you all!,"On an island, you're always surrounded by friends – sometimes they just have fins or feathers.",Island life is life without corners.,Coho Salmon Capturer,100,10,Oceanus,"Faulkner, Shaffer and Moyer",Fishing
Clepper Jessen,2035-08-29T00:00:00Z,2035-08-31T00:00:00Z,Paackland harbor reports,cohosalmoncapturera7b,City of Paackland,3,2035-08-28T00:00:00Z,Portmaster of Paackland,"I must go down to the seas again, for the call of the running tide.",NA,I can't control the wind but I can adjust the sail.,He that will not sail till all dangers are over must never put to sea.,Coho Salmon Capturer,100,10,Oceanus,"Faulkner, Shaffer and Moyer",Fishing
Haenyeo Hyun-Ki,2035-08-03T00:00:00Z,2035-08-05T00:00:00Z,Paackland harbor reports,cohosalmoncapturera7b,City of Paackland,4,2035-07-24T00:00:00Z,Portmaster of Paackland,NA,NA,A ship is always safe at the shore - but that is NOT what it is built for.,NA,Coho Salmon Capturer,100,10,Oceanus,"Faulkner, Shaffer and Moyer",Fishing
Clepper Jessen,2035-04-11T00:00:00Z,2035-04-17T00:00:00Z,Lomark harbor reports,largemouthbasslooterf95,City of Lomark,0,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Wonderful Lunch of VonLipwig to each of you!,The secret ingredient is always saltwater.,Home is where the anchor drops.,Largemouth Bass Looter,200,40,Oceanus,Solis-Lopez,Fishing
Haenyeo Hyun-Ki,2035-04-13T00:00:00Z,2035-04-20T00:00:00Z,Lomark harbor reports,largemouthbasslooterf95,City of Lomark,1,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Wonderful Lunch of VonLipwig to each of you!,The secret ingredient is always saltwater.,"If one does not know to which port one is sailing, no wind is favorable.",Largemouth Bass Looter,200,40,Oceanus,Solis-Lopez,Fishing
Junior Shurdlu,2035-05-11T00:00:00Z,2035-05-16T00:00:00Z,Paackland harbor reports,largemouthbasslooterf95,City of Paackland,0,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",Merry Offler Snack to you all!,"We are all in the same boat, in a stormy sea, and we owe each other a terrible loyalty.","You can shake the sand from your shoes, but it will never leave your soul.",Largemouth Bass Looter,200,40,Oceanus,Solis-Lopez,Fishing
Clepper Jessen,2035-02-13T00:00:00Z,2035-02-23T00:00:00Z,Paackland harbor reports,largemouthbasslooterf95,City of Paackland,1,2035-02-05T00:00:00Z,Portmaster of Paackland,"The ocean stirs the heart, inspires the imagination and brings eternal joy to the soul.",Merry Offler Snack to you all!,Island life is life without corners.,"You can shake the sand from your shoes, but it will never leave your soul.",Largemouth Bass Looter,200,40,Oceanus,Solis-Lopez,Fishing
Haenyeo Hyun-Ki,2035-03-23T00:00:00Z,2035-04-02T00:00:00Z,Paackland harbor reports,largemouthbasslooterf95,City of Paackland,2,2035-03-16T00:00:00Z,Portmaster of Paackland,"Life on an island is like a coconut, tough to crack but irresistibly sweet inside.",NA,Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,"You can shake the sand from your shoes, but it will never leave your soul.",Largemouth Bass Looter,200,40,Oceanus,Solis-Lopez,Fishing
Junior Shurdlu,2035-11-03T00:00:00Z,2035-11-05T00:00:00Z,Paackland harbor reports,largemouthbasslooterf95,City of Paackland,3,2035-10-31T00:00:00Z,Portmaster of Paackland,"Life on an island is like a coconut, tough to crack but irresistibly sweet inside.",NA,NA,NA,Largemouth Bass Looter,200,40,Oceanus,Solis-Lopez,Fishing
Clepper Jessen,2035-03-26T00:00:00Z,2035-03-29T00:00:00Z,Lomark harbor reports,snappersnatcher7be,City of Lomark,0,2035-03-20T00:00:00Z,Portmaster of Lomark,"The older I get, the faster I was. There's no substitute for cubic inches and a good engine.",NA,"Bare feet, salty hair.","The goal is not to sail the boat, but rather to help the boat sail herself.",Snapper Snatcher,100,20,Oceanus,SouthSeafood Express Corp,Fishing
Junior Shurdlu,2035-03-25T00:00:00Z,2035-03-31T00:00:00Z,Lomark harbor reports,snappersnatcher7be,City of Lomark,1,2035-03-20T00:00:00Z,Portmaster of Lomark,They are ill discoverers that think there is no land when they can see nothing but sea.,NA,"Bare feet, salty hair.","The goal is not to sail the boat, but rather to help the boat sail herself.",Snapper Snatcher,100,20,Oceanus,SouthSeafood Express Corp,Fishing
Clepper Jessen,2035-05-09T00:00:00Z,2035-05-14T00:00:00Z,Paackland harbor reports,snappersnatcher7be,City of Paackland,0,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",NA,Life's roughest storms prove the strength of our anchors.,"The ocean stirs the heart, inspires the imagination and brings eternal joy to the soul.",Snapper Snatcher,100,20,Oceanus,SouthSeafood Express Corp,Fishing
Clepper Jessen,2035-05-19T00:00:00Z,2035-05-26T00:00:00Z,Paackland harbor reports,snappersnatcher7be,City of Paackland,1,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",NA,Life's roughest storms prove the strength of our anchors.,A man without a goal is like a ship without a rudder.,Snapper Snatcher,100,20,Oceanus,SouthSeafood Express Corp,Fishing
Clepper Jessen,2035-05-11T00:00:00Z,2035-05-14T00:00:00Z,Paackland harbor reports,snappersnatcher7be,City of Paackland,2,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",NA,Life's roughest storms prove the strength of our anchors.,Ocean: A body of water occupying two-thirds of a world made for man - who has no gills.,Snapper Snatcher,100,20,Oceanus,SouthSeafood Express Corp,Fishing
Haenyeo Hyun-Ki,2035-02-10T00:00:00Z,2035-02-20T00:00:00Z,Paackland harbor reports,snappersnatcher7be,City of Paackland,3,2035-02-01T00:00:00Z,Portmaster of Paackland,NA,NA,NA,"A ship in harbor is safe, but that's not what ships are built for.",Snapper Snatcher,100,20,Oceanus,SouthSeafood Express Corp,Fishing
Clepper Jessen,2035-02-22T00:00:00Z,2035-03-01T00:00:00Z,Lomark harbor reports,malta8cc,City of Lomark,0,2035-02-17T00:00:00Z,Portmaster of Lomark,Island living is the art of simplicity.,Enjoy Offler Snack today!,"Bare feet, salty hair.","I must go down to the seas again, for the call of the running tide.",Malta,200,40,Oceanus,"Clark, Hall and Cole",Fishing
Junior Shurdlu,2035-02-20T00:00:00Z,2035-02-21T00:00:00Z,Lomark harbor reports,malta8cc,City of Lomark,1,2035-02-17T00:00:00Z,Portmaster of Lomark,Island living is the art of simplicity.,Wonderful Lunch of VonLipwig to each of you!,A good sailor knows his ropes.,"I must go down to the seas again, for the call of the running tide.",Malta,200,40,Oceanus,"Clark, Hall and Cole",Fishing
Haenyeo Hyun-Ki,2035-08-27T00:00:00Z,2035-09-03T00:00:00Z,Paackland harbor reports,malta8cc,City of Paackland,0,2035-08-21T00:00:00Z,Portmaster of Paackland,Life's roughest storms prove the strength of our anchors.,Merry Offler Snack to you all!,Island life is life without corners.,"You can shake the sand from your shoes, but it will never leave your soul.",Malta,200,40,Oceanus,"Clark, Hall and Cole",Fishing
Haenyeo Hyun-Ki,2035-05-10T00:00:00Z,2035-05-12T00:00:00Z,Paackland harbor reports,malta8cc,City of Paackland,1,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.","Wow, its Day of Future Hope again","Live in the sunshine, swim in the sea, drink the wild air.","You can shake the sand from your shoes, but it will never leave your soul.",Malta,200,40,Oceanus,"Clark, Hall and Cole",Fishing
Haenyeo Hyun-Ki,2035-05-13T00:00:00Z,2035-05-21T00:00:00Z,Paackland harbor reports,malta8cc,City of Paackland,2,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",NA,"Live in the sunshine, swim in the sea, drink the wild air.",We must free ourselves of the hope that the sea will ever rest. We must learn to sail in high winds.,Malta,200,40,Oceanus,"Clark, Hall and Cole",Fishing
Clepper Jessen,2035-11-04T00:00:00Z,2035-11-14T00:00:00Z,Paackland harbor reports,malta8cc,City of Paackland,3,2035-10-30T00:00:00Z,Portmaster of Paackland,I start from the premise that no object created by man is as satisfying to his body and soul as a proper sailing yacht.,NA,"The calmer the waters, the closer the storm.",We must free ourselves of the hope that the sea will ever rest. We must learn to sail in high winds.,Malta,200,40,Oceanus,"Clark, Hall and Cole",Fishing
Junior Shurdlu,2035-05-29T00:00:00Z,2035-06-04T00:00:00Z,South Paackland harbor reports,malta8cc,City of South Paackland,0,2035-05-23T00:00:00Z,Portmaster of South Paackland,"If you want to build a ship, don’t drum up the men to gather wood, divide the work, and give orders. Instead, teach them to yearn for the vast and endless sea.",NA,"The sea, the majestic sea, breaks everything, crushes everything, cleans everything, takes everything...from me.",Life's roughest storms prove the strength of our anchors.,Malta,200,40,Oceanus,"Clark, Hall and Cole",Fishing
Haenyeo Hyun-Ki,2035-04-13T00:00:00Z,2035-04-19T00:00:00Z,Lomark harbor reports,hooklinesinkera2d,City of Lomark,0,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Enjoy Offler Snack today!,"Island life is not just a place, it's a state of mind.",An island is more than just a geographical location; it's a state of mind.,"Hook, Line & Sinker",3200,110,Oceanus,Cox-Donovan,Fishing
Junior Shurdlu,2035-04-13T00:00:00Z,2035-04-19T00:00:00Z,Lomark harbor reports,hooklinesinkera2d,City of Lomark,1,2035-04-07T00:00:00Z,Portmaster of Lomark,"Island life is a treasure, don't rush to find it.",Merry Saw Appreciation Day to you all!,"Island life is not just a place, it's a state of mind.",An island is more than just a geographical location; it's a state of mind.,"Hook, Line & Sinker",3200,110,Oceanus,Cox-Donovan,Fishing
Clepper Jessen,2035-02-07T00:00:00Z,2035-02-09T00:00:00Z,Paackland harbor reports,hooklinesinkera2d,City of Paackland,0,2035-02-05T00:00:00Z,Portmaster of Paackland,"The ocean stirs the heart, inspires the imagination and brings eternal joy to the soul.",Merry Offler Snack to you all!,"We are all in the same boat, in a stormy sea, and we owe each other a terrible loyalty.","The sea, the majestic sea, breaks everything, crushes everything, cleans everything, takes everything...from me.","Hook, Line & Sinker",3200,110,Oceanus,Cox-Donovan,Fishing
Haenyeo Hyun-Ki,2035-07-02T00:00:00Z,2035-07-04T00:00:00Z,Paackland harbor reports,hooklinesinkera2d,City of Paackland,1,2035-07-02T00:00:00Z,Portmaster of Paackland,"Wind in my hair, I feel part of everywhere.",Merry Unification Day to you all!,"We are all in the same boat, in a stormy sea, and we owe each other a terrible loyalty.","The sea, the majestic sea, breaks everything, crushes everything, cleans everything, takes everything...from me.","Hook, Line & Sinker",3200,110,Oceanus,Cox-Donovan,Fishing
Haenyeo Hyun-Ki,2035-07-14T00:00:00Z,2035-07-24T00:00:00Z,Paackland harbor reports,hooklinesinkera2d,City of Paackland,2,2035-07-05T00:00:00Z,Portmaster of Paackland,The island life chose me.,NA,There’s no such thing as a wasted day at the beach.,Sunset is my favorite color.,"Hook, Line & Sinker",3200,110,Oceanus,Cox-Donovan,Fishing
